Data,Type,Source,English Translation,Category,100%,Annotation
Bes morottoi pagol ole c elerji oidi c,Comments,Facebook,if you become mad about lots of boys/men then you get alergy,women/girls,50,Neutral
Sedam tele ten parbotho jelat es hangisudhi,Comments,Facebook,if you have guts then come to the three hill districts you daughter of a prostitute,women/girls,100,Bully
Ler ha huttur bssuni toabrelonei ekkine sehodani hosc,Comments,Facebook,eat samen you daughter of a bitch as you say such bad things for your father,women/girls,100,Bully
sei mgda sigon guri balan,Comments,Facebook,that less samen person,women/girls,100,Bully
"Masudibo tr adibasi hbar mu age ni,,,,,ler heye mu loy hene hoj i",Comments,Facebook,you motherfucker have you any face to clain yourself an indegeneous…you have such a bad face,women/girls,100,Bully
Medera ha mgdabi,Comments,Facebook,eat samen you dead person,women/girls,100,Bully
Mgda bi lokkon an,Comments,Facebook,this dead person's symptoms,women/girls,100,Bully
Eju sok tntn grette,Comments,Facebook,my eyes are paining,women/girls,20,Not Bully
odei veidhon..se ajaloi baji tebong ami,Comments,Facebook,yes brother..we will live with that hope,men/boys,0,Not Bully
Tor jorma o tik nei,Comments,Facebook,your birth is not right,men/boys,100,Bully
 Balan puji jar gwda tik tok gotte gotte,Comments,Tiktok,your semen is also rottening by doing tiktok,women/girls,100,Bully
Jatte masudi tui,Comments,Tiktok,your cast is also motherfucker,women/girls,100,Bully
Magisudi hejan lager ebar,Comments,Facebook,how are feeling now motherfucker,women/girls,100,Bully
SEN DW OVINOI TAR,Comments,Facebook,that is her acting,women/girls,50,Neutral
Bej buro uye d tw nekku,Comments,Facebook,your husband has become too old,women/girls,50,Neutral
Oi dinne degi lung e bandorban od nirban jadon tokki madad tokki madad gori.tara tk d nw paron binoy od bili neai.,Comments,Facebook,that day I saw that people are going nirvana putting on hats on their heads in Bandarban. They cannot give money but they sure can give entertainment.,religion,50,Neutral
Hudu pwgoi dangu igun,Comments,Facebook,where do you find these,religion,20,Not Bully
Edit gwra obo de,Comments,Facebook,this might be edited,religion,0,Not Bully
Ei na vogoban,Comments,Facebook,oh my god,religion,0,Not Bully
jar kormopol te voggre,Comments,Facebook,results are according to actions,religion,0,Not Bully
ebe real video nahi?,Comments,Facebook,is this a real video?,all,0,Not Bully
Nijo Dormo ganore ....baje montobbo gurile ai abosta abo,Comments,Facebook,if you give a bad comment on your religion then this will happen ,religion,0,Not Bully
Usso gore para Dan diyon,Comments,Facebook,Enthusiasm increases after seeing such donations,religion,0,Not Bully
 preparation cholette di,Comments,Facebook,I'm taking preparation sister,all,0,Not Bully
Oreeeh Bitu da celebrity oi jiyossoi,Comments,Facebook,Goodness brother Bitu you have become a celebrity,men/boys,0,Not Bully
Bahh suguni bo ,Comments,Facebook,Goodness the dried fish,product,0,Not Bully
mre hoyekku pade de,Comments,Facebook,send me some of these,product,0,Not Bully
Tor Phone numberbo pele kub dol obo da,Comments,Facebook,it would be great if you give me your phone number brother,men/boys,0,Not Bully
Vat nhei tei paribu,Comments,Facebook,one can survive without rice,product,0,Not Bully
Gor gor,Comments,Facebook,do it,product,0,Not Bully
Morr uhhhh se somoi an icche de parapang...sene prem gribar mne nohoydi,Comments,Facebook,I think I'm also having the same time..I too don't want to fall in love,all,0,Not Bully
One plus ekkan beja obw,Comments,Facebook,I'll sell a One Plus phone,product,0,Not Bully
phonan beja oye nahe,Comments,Facebook,Is the phone sold out,product,0,Not Bully
ate okke tw lokkon..mu beda bo bej mejai de ,Comments,Facebook,this guy looks exactly like you..the face shape looks same,men/boys,20,Not Bully
mui sekke uri nohang,Comments,Facebook,I don't eat like that,men/boys,0,Not Bully
Oi oi Ekke mw mono hdagan hoi dile,Comments,Facebook,Yes you have absolutely said what's in my mind,women/girls,0,Not Bully
kora uye ,Comments,Facebook,this was terrific,all,20,Not Bully
Hegaboga mile un lo paribade bana,Comments,Facebook,you can only marry stupid women/girls,men/boys,20,Not Bully
Tumi loi paribade chala nwjeye on...amattun tara lonnoi di top no.1 o,Comments,Facebook,You can only marry the useless women/girls..they take away from us the top n0 1 women/girls,men/boys,20,Not Bully
hojora,Comments,Facebook,dirty,men + women,50,Neutral
tara londoide milegun sow ....r...tumi luode milegun sow....,Comments,Facebook,look at the girls/women they take and look at the women/girls you take,men/boys,50,Neutral
jedong?,Posts,Facebook,shall we go?,men + women,0,Not Bully
ikku noiiiiiiiiii mui ejong,Comments,Facebook,not now let me come first,men + women,0,Not Bully
jhadi ai,Comments,Facebook,come fast,men + women,0,Not Bully
Huttun bairr ole nyk ,Comments,Facebook,where have you come from actor,men/boys,0,Not Bully
gado viderettun,Comments,Facebook,from a cave,men/boys,0,Not Bully
 tma jalai nw paribo ar,Comments,Facebook,can't do anything because of your disturbance,men + women,0,Not Bully
Hille purikkhe,Posts,Facebook,tomorrow is exam,all,0,Not Bully
chamka nahi bangal da?,Comments,Facebook,are they chakma or bengali?,community,50,Neutral
gari an changmar,Comments,Facebook,The vehicle belongs to a chakma,community,50,Neutral
hicchu nwhom r thhomare.... aashirbad gucchu ,Comments,Facebook,"I will not say anything to you guys, bless me",men + women,0,Not Bully
Tui je bar bar e legagani post gros. Tor he proman ahge?,Comments,Facebook,you post these things continuously. What proof do you have?,religion,0,Not Bully
hina pela ean,Comments,Facebook,buy this one,product,0,Not Bully
Amare basse tag ajir ,Comments,Facebook,wait for us we are coming,men + women,0,Not Bully
 uri uri berebatte mui baneyungge,Comments,Facebook,I made it so that I can fly while travelling,women/girls,20,Not Bully
uri paroj daw,Comments,Facebook,so you can fly,women/girls,20,Not Bully
Eyan hudu,Comments,Facebook,where is the place,women/girls,0,Not Bully
Bere n puror dw,Comments,Facebook,the journey never ends,women/girls,0,Not Bully
awde,Comments,Facebook,yes,women/girls,0,Not Bully
Ah edok age bilini paltapalti..degotte? ,Comments,Facebook,you guys have that’s why you are showing off right?,women/girls,50,Neutral
 te he,Comments,Facebook,so what,women/girls,0,Not Bully
Oi te more discount no dibi??,Comments,Facebook,so won't you give me discount??,women/girls,0,Not Bully
Boi bo age na e da abw,Comments,Facebook,Is the book still available brother?,product,0,Not Bully
 nei de oye akjonore,Comments,Facebook,no it has been given away to someone,product,0,Not Bully
Pojaa bal hadak sebo i,Comments,Facebook,how many times do we have to see this bitch,women/girls,100,Bully
Mgdamoi breakup oe nahe ! he bana sad video banor,Comments,Facebook,Did you got breakup you dead person! Why do you only make sad video,women/girls,100,Bully
oreee bon boda pasjus ci nahi ,Comments,Facebook,Did you lay eggs sister,women/girls,100,Bully
tutto loi puro bangal lu settu suji dibar i,Comments,Facebook,your lips seems like sucking the bengali people's dick,women/girls,100,Bully
Hebe tui,Comments,Facebook,I will beat you,women/girls,100,Bully
Mgda tenga lobi mele bo,Comments,Facebook,You greedy woman,women/girls,100,Bully
Sudo sadi reels,Comments,Facebook,sex reels,women/girls,100,Bully
Mamiya di sul ani bangalle habi diyede nahi,Comments,Facebook,Did the bengali guy cut off your hair Mamiya sister,women/girls,100,Bully
Lammabali,Comments,Facebook,long and short,women/girls,100,Bully
Halabali,Comments,Facebook,black short,women/girls,100,Bully
Sudimmi,Comments,Facebook,I will fuck you,women/girls,100,Bully
Huttor Bassuni Dokkan De O 9parongge,Comments,Facebook,I can't stand you bitch,women/girls,100,Bully
Mw polanno,Comments,Facebook,my love,women/girls,0,Not Bully
Mgda bi hmole moribe... Jane dw se9 parong i,Comments,Facebook,when will you die you dead woman.. I can't stand you anymore,women/girls,100,Bully
Esse sibi loi sulibode nahi ,Comments,Facebook,will you have sex with him today,women/girls,100,Bully
Poja bali,Comments,Facebook,you rotten samen,women/girls,100,Bully
tore sudong msgi,Comments,Facebook,fuck you bitch,women/girls,100,Bully
Hanggi sudi,Comments,Facebook,you bitch,women/girls,100,Bully
Mamuya re sudibar time nei,Comments,Facebook,I don't have time to fuck Mamiya,women/girls,100,Bully
Ler ha mogoda b,Comments,Facebook,eat samen you dead person,women/girls,100,Bully
Bes bse guri sudim,Comments,Facebook,I will fuck you more and more,women/girls,100,Bully
ah adok he hegeda uyuj mamiya bon,Comments,Facebook,why have you become so skinny Mamiya sister,women/girls,100,Bully
Tui helloi na putul khela...tw biral buloi,Comments,Facebook,you also play dool with your cat,women/girls,100,Bully
Jure jure sudim,Comments,Facebook,I will fuck you hard,women/girls,100,Bully
Porans ,Comments,Facebook,loves,women/girls,0,Not Bully
I sudong,Comments,Facebook,come let me fuck you,women/girls,100,Bully
Te mui he guridung,Comments,Facebook,so what should I do,women/girls,0,Not Bully
Tre sudim,Comments,Facebook,I will fuck you,women/girls,100,Bully
Lerha mgda Sunny Leone bonnu,Comments,Facebook,eat samen you sister of Sunny Leone,women/girls,100,Bully
to balan homole hamerede hor nopebe,Comments,Facebook,you will not get to know when he bites your samen,women/girls,100,Bully
Tui asole pagol dw,Comments,Facebook,you are actually mad,women/girls,100,Bully
Tw bal un ley dibo ci hakke,Comments,Facebook,it will lick your samen,women/girls,100,Bully
2i o pagol ni senei tr dukke i belei bo o,Comments,Facebook,you are mad that is why your cat is also mad,women/girls,100,Bully
Sale tui he,Comments,Facebook,so what are you,women/girls,50,Neutral
Mgdabi morer,Comments,Facebook,the bitch is dieing,women/girls,100,Bully
mgs dim nahi hda hwdong,Comments,Facebook,should I message you so that we can talk,women/girls,0,Not Bully
Mkta Bangla Hoda Ani o hoi nw Jane,Comments,Facebook,this bitch cannot even speak bengali properly,women/girls,100,Bully
Goda borei dim,Comments,Facebook,I will insert the whole,women/girls,100,Bully
Hakke dw muan vanggi felebe,Comments,Facebook,you will break your face after some time,women/girls,100,Bully
Mada bo aste guri meyad jar,Comments,Facebook,this dead women is aging fast,women/girls,100,Bully
He arw cheka hioj nahi bon,Comments,Facebook,did you get break up sister,women/girls,0,Not Bully
I maji dong,Comments,Facebook,come let me rub you,women/girls,100,Bully
Hah mkta dong sana,Comments,Facebook,huh look at her attitude,women/girls,100,Bully
"Asssa turtun ekdom laj nei ni, sekken..je nudi nudi video saroch",Comments,Facebook,don't you have any shame that you share this type of videos,women/girls,100,Bully
Atwwww nijoree ki baaaal saaal mone goroch mui buji nw parong!!,Comments,Facebook,what the hell do you think of yourself I cannot understand,women/girls,50,Neutral
Poran ler haa tui.,Comments,Facebook,eat samen my love,women/girls,100,Bully
Letto pojsi,Comments,Facebook,looks tempting,food,0,Not Bully
Ebere cinoj nahe,Comments,Facebook,do you know him,men/boys,0,Not Bully
Akka pora udidak,Comments,Facebook,I wish you get alergy,men/boys,100,Bully
Pura dw gas bandor,Comments,Facebook,you look like a tree monkey,men/boys,100,Bully
Manji dromo grro don tui bna pab ani grrote,Comments,Facebook,others are doing religious things and you are doing only sins,men/boys,100,Bully
To samukkunot goda so oyon ,Comments,Facebook,your snails have got babies,men/boys,0,Bully
Puro bandoro dok gassuttn jam dede ,Comments,Facebook,he jumps from the tree like a monkey,men/boys,100,Bully
Report mari diney id bu ses guri du de ekka.. ,Posts,Facebook,Destroy the id by reporting it.. ,women/girls,100,Bully
 goda dw sej,Comments,Facebook,everything is finished,all,0,Not Bully
Mw egun puri jiyon guda hala hala huyon,Comments,Facebook,My food is all burnt and have become black,food,0,Not Bully
75 bottun 20 bo puri jiyonne,Comments,Facebook,20 have been burnt out of 75,food,0,Not Bully
oy oy,Comments,Facebook,yes right,all,0,Not Bully
Jibi vedio gussi sibi dw letto pelade pelade leda uye obil ,Comments,Facebook,the person who recorded this video may have been tempted for this food,food,0,Not Bully
Ekka hamor hede,Comments,Facebook,I hope you got bitten by the insect,men/boys,50,Neutral
Duk gili agngge,Comments,Facebook,this looks very tempting to me,food,0,Not Bully
Lettw porerr,Comments,Facebook,this looks very tempting to me,food,0,Not Bully
Ohh mgda sot obw de ,Comments,Facebook,ohh my this looks tasty,food,0,Not Bully
ahh Jana hurloi tuio,Comments,Facebook,go and find food for yourself(here food is referred  to insects which is a tasty food to chakma people),food,0,Not Bully
 ani degoi na,Comments,Facebook,go and bring me some,food,0,Not Bully
dorang,Comments,Facebook,I am afraid,men/boys,0,Not Bully
akkol nei Gori,Comments,Facebook,you have no sense,men/boys,100,Bully
Sod obakke,Comments,Facebook,this looks delicious,food,0,Not Bully
oy oy,Comments,Facebook,yes right,all,0,Not Bully
Jibi vedio gussi sibi dw letto pelade pelade leda uye obil ,Comments,Facebook,the person who recorded this video may have been tempted for this food,food,0,Not Bully
Ekka hamor hede,Comments,Facebook,I hope you got bitten by the insect,men/boys,50,Neutral
Duk gili agngge,Comments,Facebook,this looks very tempting to me,food,0,Not Bully
Lettw porerr,Comments,Facebook,this looks very tempting to me,food,0,Not Bully
Ohh mgda sot obw de ,Comments,Facebook,ohh my this looks tasty,food,0,Not Bully
ahh Jana hurloi tuio,Comments,Facebook,go and find food for yourself(here food is referred  to insects which is a tasty food to chakma people),food,0,Not Bully
 ani degoi na,Comments,Facebook,go and bring me some,food,0,Not Bully
dorang,Comments,Facebook,I am afraid,men/boys,0,Not Bully
akkol nei Gori,Comments,Facebook,you have no sense,men/boys,100,Bully
Sod obakke,Comments,Facebook,this looks delicious,food,0,Not Bully
Sod obo de,Comments,Facebook,this looks very tempting to me,food,0,Not Bully
Mui jebar nw sang,Comments,Facebook,I don't want to go,men/women,0,Not Bully
Mui talloi thebar nwsang ar,Comments,Facebook,I want to break up with you,men/women,0,Not Bully
Tui he jebegoi?,Comments,Facebook,Are you leaving?,men/women,0,Not Bully
Tui sian cide guris,Comments,Facebook,You will think about it,men/women,0,Not Bully
More tore hoiung,Comments,Facebook,I have told you,men/women,0,Not Bully
Nw dorej,Comments,Facebook,Don't be afraid,men/women,0,Not Bully
Mui agong tw loge,Comments,Facebook,I am with you,men/women,0,Not Bully
Mui nw jem tw loge,Comments,Facebook,I am not going with you,men/women,0,Not Bully
Mottun gom nw lager,Comments,Facebook,I am not feeling good,men/women,0,Not Bully
Hudu togemmoi tore?,Comments,Facebook,where I find you?,men/women,0,Not Bully
Jun por bassi,Comments,Facebook,The moon is shining,men/women,0,Not Bully
lada-pada loi bat hebong,Comments,Facebook,we will eat rice with vegetable,men/women,0,Not Bully
jei jegoi,Comments,Facebook,let's go,men/women,0,Not Bully
mw monane hoda hor,Comments,Facebook,my mind is speaking,men/women,0,Not Bully
He gurim mui ekkunu?,Comments,Facebook,What can I do now?,men/women,0,Not Bully
Tw muan ekka olor gor,Comments,Facebook,Shut up your mouth,men/women,50,Neutral
Ghum nw ejer,Comments,Facebook,I am not sleepy,men/women,0,Not Bully
Mui ghum jei nw parongor,Comments,Facebook,I can't sleep,men/women,0,Not Bully
Tore sebar mone hor,Comments,Facebook,I   want to see you,men/women,0,Not Bully
Tui huddurot jebe?,Comments,Facebook,How far you will go?,men/women,0,Not Bully
Somoy thele mwlloi dega gurij,Comments,Facebook,Meet me when you have time,men/women,0,Not Bully
Mui dw sian somadha guri di nw parim,Comments,Facebook,I can't solve this,men/women,0,Not Bully
Nw hoj ar hissu,Comments,Facebook,Don't say anything,men/women,50,Neutral
Hoja ai more,Comments,Facebook,come to receive me,men/women,0,Not Bully
Tore dagim mui,Comments,Facebook,I will call you,men/women,0,Not Bully
more somod de,Comments,Facebook,response me,men/women,0,Not Bully
Hoda hole nw bujoj?,Comments,Facebook,Don't you understand my words?,men/women,0,Not Bully
Mui caguri piung,Comments,Facebook,I have got a job,men/women,0,Not Bully
Tara mw somajji,Comments,Facebook,They are my friend,men/women,0,Not Bully
Tor hono hobor nei,Comments,Facebook,no news of you,men/women,0,Not Bully
Mw somajjibu daidu beremboi,Comments,Facebook,I will go to visit my friends house,men/women,0,Not Bully
Te pidili oyi,Comments,Facebook,She has conceived,women/girls,10,Not Bully
Mui gai gai thei nw parim,Comments,Facebook,I can't stay alone,men/women,0,Not Bully
Tui hitte mw ugure jogar parotte?,Comments,Facebook,Why are you yelling at me?,men/women,0,Not Bully
E an monot ragej,Comments,Facebook,mind it,men/women,0,Not Bully
Mui dagili somot diz,Comments,Facebook,"If I call you , you will respond  me",men/women,0,Not Bully
Se hoda hole baluddur,Comments,Facebook,This conversation will take a long time,men/women,0,Not Bully
Mui sian hobar nw sang,Comments,Facebook,I don't want to tell you this,men/women,0,Not Bully
Bej pede pede nw guris,Comments,Facebook,Don't try to be stupid,men/women,100,Bully
More benge choge rini nw sej,Comments,Facebook,Don't try to underestimate me,men/women,30,Not Bully
vulo dok guri hoda nw hoj,Comments,Facebook,Don’t speak like a fool,men/women,50,Not Bully
Bekkani dw tw ugure,Comments,Facebook,All of this  will depends on you,men/women,0,Not Bully
Mui ow hem,Comments,Facebook,I wll also eat,men/women,0,Not Bully
Tor tenga agonde?,Comments,Facebook,Do you have money?,men/women,0,Not Bully
Hodor un dogotton,Comments,Facebook,The pigeons are chirping,men/women,0,Not Bully
Porbut maj agon,Comments,Facebook,There have fish in the pond,men/women,0,Not Bully
Dhan habibongoi,Comments,Facebook,We will cut the rice plants,men/women,0,Not Bully
More dhurij,Comments,Facebook,Hold me up,men/women,0,Not Bully
More dhuri paroj nahi sa,Comments,Facebook,Catch me if you can,men/women,0,Not Bully
Jei jumot jei,Comments,Facebook,Let's go to jum(cultivation in the top of the hills),men/women,0,Not Bully
Tui huttun ejote?,Comments,Facebook,Where are you come from?,men/women,0,Not Bully
Mui gai gai jemmoi,Comments,Facebook,I will go alone,men/women,0,Not Bully
Mui gai jei parim,Comments,Facebook,I can go alone,men/women,0,Not Bully
Mui piri piung,Comments,Facebook,I have got pain,men/women,0,Not Bully
More gai  agi fele nw jez,Comments,Facebook,Don't leave me alone,men/women,0,Not Bully
Mui tare biz degong,Comments,Facebook,I don't want to see him in my eyes,men/women,100,Bully
Mui tare nw degongor,Comments,Facebook,I can't see him,men/women,0,Not Bully
Hojje bajana hema du,Comments,Facebook,Give up the fight,men/women,0,Not Bully
Mui ta chokkun ow indi sei nw parongor,Comments,Facebook,I can't look him in the eyes,men/women,0,Not Bully
More ghumottun jage diz,Comments,Facebook,wake me up ,men/women,0,Not Bully
Mor tore ar he hobar age,Comments,Facebook,What else I can say you?,men/women,0,Not Bully
 deri guri ghum nw jej,Comments,Facebook,Don't sleep late,men/women,0,Not Bully
Se ajibulaoi mw monan hari nejeuj,Comments,Facebook,With that smile you took my heart,men/women,0,Not Bully
Mui tore bissej nw jang,Comments,Facebook,I don't believe you,men/women,0,Not Bully
Mui hobor nw pang,Comments,Facebook,I don't know ,men/women,0,Not Bully
Te hudu age mui hobor nw pang,Comments,Facebook,I don't know where he/she is,men/women,0,Not Bully
Mui sian sigibar sang,Comments,Facebook,I want to learn,men/women,0,Not Bully
Mui pekkunw dokki uribar sang,Comments,Facebook,I want to fly like  the birds,men/women,0,Not Bully
boda vaja gurim,Comments,Facebook,I will fry eggs,men/women,0,Not Bully
Te hudu age?,Comments,Facebook,Where is he/she?,men/women,0,Not Bully
Vujol jatte,Comments,Facebook,An earthquake is happening,men/women,0,Not Bully
Tui hallloi hoda hotte?,Comments,Facebook,Who are you talking with?,men/women,0,Not Bully
jei sidu,Comments,Facebook,Let's go there,men/women,0,Not Bully
Jol nw gujju,Comments,Facebook,Don't make moise,men/women,0,Not Bully
Olor guri thago,Comments,Facebook,Be quiet,men/women,0,Not Bully
cidi ekkan leg,Comments,Facebook,Write a letter,men/women,0,Not Bully
culanot tel de,Comments,Facebook,Oil your hair,men/women,0,Not Bully
monot duk nw guris,Comments,Facebook,Don't be sad,men/women,0,Not Bully
bassuri ton loi vat hem,Comments,Facebook,I will eat rice with bambo(young par of bamboo used as curry),men/women,0,Not Bully
hela semboi,Comments,Facebook,I will see the match,men/women,0,Not Bully
Baa! Jei na,Comments,Facebook,Let's go please,men/women,0,Not Bully
Mw monan essi huji,Comments,Facebook,My mind is happy today,men/women,0,Not Bully
Mui sian guribar nw sang,Comments,Facebook,I don't want to do that,men/women,0,Not Bully
Harojonore nw hoj,Comments,Facebook,Don't tell anyone,men/women,0,Not Bully
tare hojpang,Comments,Facebook,I love him,men/women,0,Not Bully
Pigire bu hamereyi,Comments,Facebook,The ant bites me,men/women,0,Not Bully
Tui malloi edikke nw gurilio patte,Comments,Facebook,You shouldn't do it to me,men/women,0,Not Bully
Tui malloi hitte eani gossuj?,Comments,Facebook,Why you do this to me?,men/women,0,Not Bully
Her ani el oyi,Comments,Facebook,The grass became green,men/women,0,Not Bully
mui tore sari nw parongor,Comments,Facebook,I am addicted to you,men/women,0,Not Bully
retto bu gum jei nw parong,Comments,Facebook,I couldn't sleep whole night,men/women,0,Not Bully
jei bat hehoi,Comments,Facebook,Let's go to eat rice,men/women,0,Not Bully
Ekku henjan agoz?,Comments,Facebook,How do you feel now?,men/women,0,Not Bully
Mui monot tuli nw parong,Comments,Facebook,I couldn't remind it,men/women,0,Not Bully
Jei ekloge hela segoi,Comments,Facebook,Let's go to see the match,men/women,0,Not Bully
Aga salot jebar sang,Comments,Facebook,I want to go to the washroom,men/women,0,Not Bully
Mui tore  hobar nwsang,Comments,Facebook,I don't want to tell you,men/women,0,Not Bully
gurubutte her habimboi,Comments,Facebook,I will cut grass for the cow,men/women,0,Not Bully
Toma goran hudu?,Comments,Facebook,Where is you home?,men/women,0,Not Bully
Hude jebe?,Comments,Facebook,Where you go?,men/women,0,Not Bully
harabigun pettemboi,Comments,Facebook,I will collect tomato,men/women,0,Not Bully
bej habil nw oj,Comments,Facebook,Don't work too much,men/women,0,Not Bully
bek bojong hamani puri felebar sang,Comments,Facebook,I want to forget all bad work,men/women,0,Not Bully
Garit guri jem,Comments,Facebook,I will go by car,men/women,0,Not Bully
gassunot pani dim,Comments,Facebook,I will water the plants,men/women,0,Not Bully
mui tore hingiri monot dugo hoda hom,Comments,Facebook,How can I tell you my sorrow?,men/women,0,Not Bully
Tui essi he goror?,Comments,Facebook,How are you doing today?,men/women,0,Not Bully
Je dool!,Comments,Facebook,How cute!,men/women,0,Not Bully
Tui he hobar siuj?,Comments,Facebook,What do you mean?,men/women,0,Not Bully
Tui he jaguluk lagot piuj?,Comments,Facebook,What problems are you facing?,men/women,0,Not Bully
Ame dessan edokki dool,Comments,Facebook,our country is very charming,men/women,0,Not Bully
Junan utti,Comments,Facebook,The moon has risen,men/women,0,Not Bully
Jun poror chodok cerohitte bassi,Comments,Facebook,Moonlight has illuminated all around,men/women,0,Not Bully
mujunge majot ekkan gari hinim,Comments,Facebook,I will buy a car next month,men/women,0,Not Bully
Ama adaman ow naman hagarachori,Comments,Facebook,Our village name is Khagrachari,men/women,0,Not Bully
Mui tottei firi emboi,Comments,Facebook,I will come back for you,men/women,0,Not Bully
Mui bazarottun poza hoza jem,Comments,Facebook,I will bring groceries from market,men/women,0,Not Bully
mui ekku gan gebar sang,Comments,Facebook,I want to sing a song,men/women,0,Not Bully
Dinputte mui tw tore gorong,Comments,Facebook,everyday i think about you,men/women,0,Not Bully
Din putte mui tottei bor magi dung tui bor manuj oi paroj para,Comments,Facebook,everyday i pray for your success,men/women,0,Not Bully
Dinputte mui pekkunore hana dung,Comments,Facebook,I feed the birds everyday,men/women,0,Not Bully
guru chora jem,Comments,Facebook,I will go to graze the cow,men/women,0,Not Bully
Gorba ebak essi,Comments,Facebook,Guest will come today,men/women,0,Not Bully
hedot ham gora jem,Comments,Facebook,I will go to work in the field,men/women,0,Not Bully
essi je jar porer,Comments,Facebook,Today it feels very cold,men/women,0,Not Bully
Daba hebar mone hor,Comments,Facebook,"I want to smoke daba(one type of instrument to smoke,made from bamboo )",men/women,0,Not Bully
mui me tenga gun areung,Comments,Facebook,I have lost my money,men/women,0,Not Bully
Te bor mager,Comments,Facebook,He/she is parying,men/women,0,Not Bully
more ekka ek goloj pani ani dena,Comments,Facebook,Please bring for me a glass of water,men/women,0,Not Bully
redo andarot juni jolodon,Comments,Facebook,Fireflies are shining in the darkness of the night,men/women,0,Not Bully
fulun ow rongani je dol,Comments,Facebook,The colors of flower are so beautiful,men/women,0,Not Bully
mui ei nw parim,Comments,Facebook,I can't come,men/women,0,Not Bully
tara hujje bajadon,Comments,Facebook,They were fighting,men/women,0,Not Bully
jogar pari pari hod nw hoj,Comments,Facebook,Don't talk loudly,men/women,0,Not Bully
sian nw durij,Comments,Facebook,Don't touch it,men/women,0,Not Bully
more nw durij,Comments,Facebook,Don't touch me,men/women,0,Not Bully
mui hanibar nw sang,Comments,Facebook,I don't want to cry,men/women,0,Not Bully
"olor guri thag, mor rag udibu",Comments,Facebook,"Keep calm, I will be angry",men/women,50,Neutral
mui essi redot bare bat hem,Comments,Facebook,I will eat dinner tonight,men/women,0,Not Bully
mui jian hong sian sun,Comments,Facebook,listen what I say,men/women,0,Not Bully
E an dhuri thak,Comments,Facebook,Hold it,men/women,0,Not Bully
pani an je pon,Comments,Facebook,The water is crystal clear,men/women,0,Not Bully
Je dol adaman!,Comments,Facebook,What a beautiful village!,men/women,0,Not Bully
Adaman dw omohodo dol,Comments,Facebook,The village is very beautiful,men/women,0,Not Bully
Fulun ow rongani oloddi,Comments,Facebook,The flowers colour are yellow,men/women,0,Not Bully
Tw vor an homa puribu,Comments,Facebook,Ruduce your weight,men/women,0,Not Bully
Essi ami ekku dol peg dikke,Comments,Facebook,We saw a beautiful bird today,men/women,0,Not Bully
Mor sidu jebar tenga nei,Comments,Facebook,I don't have enough money to go there,men/women,0,Not Bully
ami chor ot dur dekki,Comments,Facebook,we saw turtles on the beach,men/women,0,Not Bully
ami ranjuni an dekki essi,Comments,Facebook,we saw a rainbow today,men/women,0,Not Bully
mui tottei baji agong,Comments,Facebook,I am alive for you,men/women,0,Not Bully
 gessikguri mui sian hobor nw pedung,Comments,Facebook,Actually I don't know about this,men/women,0,Not Bully
Hugurbu hurigun mari di,Comments,Facebook,The dog hunted chikens,animals,0,Not Bully
hugurbu taidu daba di di essi,Comments,Facebook,the dog came running to him,animals,0,Not Bully
ami ful tula jebong,Comments,Facebook,we will  go to collect flowers,men/women,0,Not Bully
ami jere hoda hobong,Comments,Facebook,we will talk later,men/women,0,Not Bully
ami scholot jer,Comments,Facebook,we are go to school,men/women,0,Not Bully
ami jelloi,Comments,Facebook,we are going,men/women,0,Not Bully
ta ful baganan je dol,Comments,Facebook,His/her flower garden is so beautiful,men/women,0,Not Bully
mw aattani dhoa puribu,Comments,Facebook,I have to wash my hands,men/women,0,Not Bully
Mor thengani dhoa puribu,Comments,Facebook,I have to wash my legs,men/women,0,Not Bully
tara helat jinnunoi,Comments,Facebook,They won the game,men/women,0,Not Bully
tar bhalok sur dat agon,Comments,Facebook,they have multiple rows of teeth,men/women,0,Not Bully
mui tore hoiung,Comments,Facebook,i have told you,men/women,0,Not Bully
mor ekkunu ja puribu,Comments,Facebook,i have to go now,men/women,0,Not Bully
mor hamot ja puribu,Comments,Facebook,i have to go to work,men/women,0,Not Bully
mor jadimadi hamot ja puribu,Comments,Facebook,i have to go to work soon,men/women,0,Not Bully
mor ekku  gum ja puribu,Comments,Facebook,i have to go to bed now,men/women,0,Not Bully
mui gum jemmoi,Comments,Facebook,i have to go to bed,men/women,0,Not Bully
mui ham gorongor,Comments,Facebook,i have been working,men/women,0,Not Bully
Pojaa bal hadak sebo i,Comments,Facebook,how many times do we have to see this bitch,women/girls,100,Bully
Magisudi hejan lager ebar,Comments,Facebook,how are feeling now motherfucker,women/girls,100,Bully
assa tor balan piri noyor,Comments,Facebook,Well don't you feel pain in your samen,women/girls,100,Bully
mogodamu sikke guri suri ejocchi punut sal pudili tui sej,Comments,Facebook,"you dead meat! the way you got down sliding that slope, you could've got spilnters in your ass",men/women,50,Neutral
Lerha mgda Sunny Leone bonnu,Comments,Facebook,eat samen you sister of Sunny Leone,women/girls,100,Bully
Dok neiii gori tiring tarang sodassss. Ler heiye muigan noi.,Comments,Facebook,you don't have such looks to show this kind of attitude. With your samen eater face,women/girls,100,Bully
Lajej na ekka,Comments,Facebook,have some shame,men/women,100,Bully
to dok magi jibonot no degong,Comments,Facebook,never seen such whore like you,women/girls,100,Bully
